item,translate
absence,缺席不在场缺乏
absorb,吸收使专心
abstract,抽象的摘要
academic,学院的学术的
access,进入，使用权，通路
accordingly,因此依照
account,账户，解释理由
accurate,精确的准确的
accuse,指责归咎于
actor,男演员
actress,女演员
actual,实际的现行的
adapt,使适应改编
admire,钦佩羡慕赞赏
admit,承认准许…进入
adopt,收养采用采取
adult,成年人成年的
advance,前进提高进展
adventure,冒险惊险活动
affair,事情事件事务
affect,影响感动
afterward,后来以后随后
agent,代理人代理商
agriculture,农业农艺农学
ahead,在前向前提前
aid,帮助救护助手
aim,目的，目标，对准目的在于，使…对准
aircraft,飞机飞行器
alarm,警报，警告器，惊慌警告，使惊恐
album,集邮本照相簿唱片
alcohol,酒精乙醇
altogether,完全地总共
amaze,使惊异
ambition,雄心抱负野心
amount,总数数量
amuse,逗…乐给…娱乐
analyze,分析分解解析
ancestor,祖宗祖先
anger,怒愤怒使发怒
angle,角角度
anniversary,周年纪念日
announce,宣布发表
annoy,使恼怒打搅
anxious,忧虑的渴望的
anyhow,无论如何
apart,相隔分开除去
apartment,一套公寓房间
apologize,道歉谢罪认错
appearance,出现来到外观
apply,申请，应用
appointment,任命预约
appreciate,欣赏感谢
approach,靠近，接近，着手处理靠近，接近，方法
architecture,建筑学建筑式样
argue,争论争辩辩论
arrange,筹备整理
arrest,逮捕拘留
arrival,到达到达者
artist,艺术家美术家
ash,灰灰末骨灰
ashamed,惭愧的羞耻的
aside,在旁边到旁边
aspect,方面样子外表
assistant,助手助教
assume,假定承担呈现
astonish,使惊讶使吃惊
athlete,运动员
atmosphere,大气气氛
attach,缚系贴附加
attack,攻击进攻
attempt,尝试试图企图
attend,出席照顾护理
attitude,态度
attract,吸引
audience,听众观众
author,作者作家
available,可利用的可得到的
average,平均数平均的
award,奖奖品授予
aware,知道的意识到的
awful,可怕的，令人不愉快的
badly,坏差严重地
badminton,羽毛球
baggage,行李
bake,烤烘烧硬
balance,使平衡称天平
ban,禁令禁止取缔
band,乐队带波段
bar,酒吧间条杆
bare,赤裸的仅仅的
bargain,便宜货，交易讨价还价成交
base,基础底层基地
basin,盆子盆地
basis,基础根据
bath,洗澡浴缸
bathe,给…洗澡
battery,电池
battle,战役斗争作战
beard,胡须络腮胡子
beauty,美美丽美人
beer,啤酒
beg,乞求请求
beginning,开始开端起源
behave,表现举止
belly,腹部胃
belong,属于附属
belt,带腰带区
bench,长凳条凳工作台
bend,使弯曲弯曲
benefit,利益恩惠津贴
best,最好的
better,较好的更好地
billion,十亿
biology,生物学生态学
birthplace,出生地
bite,咬叮螫
blame,责备把…归咎于
blank,空白的空白
blanket,毯子
bleed,流血
block,街区，块，大厦堵塞拦阻
blouse,宽松的上衣
boil,沸腾汽化煮沸
bomb,炸弹轰炸
bone,骨骨骼
border,边缘边界
bother,烦扰打扰麻烦，烦恼
brake,闸刹车刹车
branch,树枝分部分支，支流
brand,商标，牌子，烙印印商标于，打烙印于，铭刻于
brick,砖块
brief,简短的作简报
broad,宽阔的广泛的
broadcast,广播播撒，播音
broom,扫帚
bucket,水桶吊桶
budget,预算
burden,负担责任，装载量使负担，装货于
burst,爆发，突发，爆炸
bury,埋葬埋藏
bush,灌木
butcher,屠夫屠户
button,扣子按钮扣紧
café,é咖啡馆小餐厅
cage,笼鸟笼囚笼
calculate,计算打算，认为
calm,平静的，沉着的（使）平静，（使）镇定
candidate,候选人应考者
carpet,地毯
carrot,胡萝卜
cart,二轮运货马车
case,情况案例病例，箱
cash,现金
castle,城堡
casual,偶然的随便的，非正式的
cattle,牛牲口家畜
cave,山洞洞穴窑洞
centimeter,厘米
central,中心的主要的
ceremony,典礼仪式
certainly,一定必定当然
chain,链链条项圈
challenge,挑战
champion,冠军拥护者支持，拥护
channel,海峡渠道频道
chapter,章回
character,性格品质，特性角色，汉字
characteristic,特有的特性
charge,索价控告，充电，使承担费用，控告，电荷，掌管
chat,闲谈聊天
check,支票
cheek,面颊脸蛋
chief,主要的首席的
chimney,烟囱
cigar,雪茄
cigarette,香烟
citizen,公民市民居民
civil,公民的文职的
clerk,店员办事员职员
climate,气候
clinic,诊所医务室会诊
clothing,衣服
cock,公鸡龙头
collar,衣领
comb,梳子梳理
combine,使联合
comedy,喜剧
comfort,舒适安慰安慰
comment,评论意见注释
commercial,商业的商业广告
committee,委员会
communism,共产主义
communist,共产党员
companion,同伴陪伴
compete,比赛竞争
complex,综合的复杂的
comrade,同志
concentrate,集中聚集
concern,关心（的事），关系使担心，关系到
conclusion,结论推论结局
concrete,混凝土具体的
conduct,举止行为指导指导，进行
conductor,售票员乐队指挥
confident,确信的自信的
confirm,证实批准
conflict,冲突
confuse,使混乱混淆
congratulation,祝词贺辞
consist,由…组成
constant,经常的恒定的，不变的数常数，恒量
construction,建造建筑物
consume,消耗消费
contain,包含容纳
content,满意的满足的
continent,大陆洲
contribute,捐献捐助投稿
convenient,便利的方便的
convince,使确信使信服
corn,谷物玉米
cottage,村舍小屋
counter,柜台计数器
court,法庭，球场，朝廷
courtyard,庭院院子
crash,碰撞坠落碰撞，坠毁，破产
cream,奶油
creature,生物创造物
credit,信用信任，分数信任
crew,全体船员
crime,罪罪行犯罪
crop,农作物庄稼
crossing,十字路口
crowd,群大众一伙人
cupboard,碗柜
cure,治疗，治愈
curious,好奇的
curtain,帘窗帘幕布
cushion,垫子坐垫靠垫
custom,习惯风俗海关
customer,顾客
cycle,循环，自行车使循环，骑自行车
damage,损害毁坏损害
damp,潮湿的
darkness,黑暗
dawn,黎明开端
deadline,最终期限
debate,争论辩论
debt,债务欠债
declare,断言声明
decorate,装饰
decrease,减少
deed,行为功绩契约
defeat,战胜击败
defence,防御辩护
defend,保卫防守，辩护
degree,程度度学位
delay,推迟耽搁延误
delete,删除擦掉
delight,快乐使高兴
deliver,投递送交
demand,要求需要
department,部司局处系
depth,深度深处
deion,描述；形容
desert,沙漠，荒原遗弃，放弃
deserve,应受值得
design,设计设计
desire,想要要求愿望，要求
destination,目的地终点
destroy,破坏消灭
detect,察觉发觉侦察
determine,决定决心
devote,将…奉献致力于
diagram,图解图表
dial,钟面拨号盘，刻度盘拨号
diamond,钻石菱形
dictation,听写，口述
diet,饮食食物节食
differ,不同相异
digest,消化领会文摘
digital,数字的，数码的
dirt,泥土，灰尘污垢
disadvantage,缺点，不利条件
disagree,不同意；不一致
disappear,不见失踪消失
disappoint,使失望
disaster,灾难
discount,折扣打折
discriminate,区别对待歧视
dislike,不喜爱厌恶
distance,距离远处
distant,在远处的疏远的，冷漠的
distinguish,区别辨别
district,地区区域
document,文件，公文用文件证明
donate,捐赠
dormitory,集体寝室宿舍
dot,点圆点打点于
download,下装卸载
downtown,在市区往市区
drawing,绘画
drill,钻孔机，训练钻孔，训练
drown,淹没，溺死
drunk,醉的陶醉的
due,预期的到期的，应付的
dull,枯燥的阴暗的
dust,灰尘
dusty,落满灰尘的，灰蒙蒙的
eager,渴望的热切的
earn,挣得获得
earthquake,地震
